name,count
6 “id” “created_at” “name”
1   "data scientist (computer vision)"
7   "data scientist"
1   "data scientist (it компания  онлайн-сервис)"
4   "data scientist (nlp)"
1   "специалист по машинному обучению (data scientist)"
1   "аналитик - эконометрист /"
